index	#1 Label	#2 ImageID	#3 String	#3 String
10250032023	negative	10250032023.jpg	taken with nikon d70s	apple
10623800605	negative	10623800605.jpg	the year of curious apples .	apple
111138968	negative	111138968.jpg	went outside today it 's 50 degrees ! and saw this . how the hell are they holding on ! ?	apple
14644699817	negative	14644699817.jpg	there s always one bad apple	apple
15830577751	negative	15830577751.jpg	a href https awildkristenappeared . wordpress . com 2012 11 01 images and style influence for project 3 rel nofollow awildkristenappeared . wordpress . com 2012 11 01 images and . . . a	apple
16061806787	negative	16061806787.jpg	there 's always one bad apple and sometimes you do n't find out until you 've bitten . 365 010	apple
16079391429	negative	16079391429.jpg	food restaurant	apple
16310850562	negative	16310850562.jpg	potential advertising idea for how the everyday classroom education ca n't always help every child equally , some need extra help .	apple
1994197016	negative	1994197016.jpg	end of the season and last of the apples still hanging off our tree	apple
2062639325	negative	2062639325.jpg	how johnny appleseed met his maker .	apple
35646424	negative	35646424.jpg	ok . . . it 's been a looooooong boring saturday at work and this is keeping me entertained . . . . ( original foto a href http www . flickr . com photos arte 26044351 here a ) with a shout out to my dog sighs . . . a href http flagrantdisregard . com flickr magazine . php rel nofollow make your own a	apple
4115522734	negative	4115522734.jpg	rotten apples collected from the base of an apple tree in the late fall . a href http www . robhuntley . ca gardens gardening 8805555 6uckm rel nofollow more gardening scenes . a a href http www . robhuntley . ca rel nofollow rob huntley a	apple
4982131203	negative	4982131203.jpg	thing a week 64 rude bananas consist mainly of sugars ( glucose , fructose and sucrose ) and fibre , which makes them ideal for an immediate and slightly prolonged source of energy . as part of a healthy and balanced diet , it is important to have your 5 a day . )	apple
5048853713	negative	5048853713.jpg	playin' around in the apples this weekend . . . from the a href http www . flickr . com photos in365 tags wweekend weekend miniseries a a href http feedburner . google . com fb a mailverify ? uri contentfromwall e365whatsheupto amp loc en us rel nofollow subscribe to content from wall e365 what 's he up to ? by email a	apple
5059600646	negative	5059600646.jpg	quot one bad apple spoils the bunch quot join me on a href http www . facebook . com pages stockholm sweden zachary ross photography 163921050291043 rel nofollow facebook a if you like it fav it	apple
5090818400	negative	5090818400.jpg	discard any apples with bruises or discoloration .	apple
5090932260	negative	5090932260.jpg	all but one	apple
5095021247	negative	5095021247.jpg	kind of pretty , though .	apple
5135284615	negative	5135284615.jpg	bad apple	apple
5499395288	negative	5499395288.jpg	project365 photo a day 64	apple
5789248176	negative	5789248176.jpg	pop of color assignment for school junior year . i also just entered this into the washington county fair here in oregon . . i 'll find out thursday how it did )	apple
6017790886	negative	6017790886.jpg	07 08 11 i love this time of year , when you can help yourself to apples , berries and plums whilst out walking . the orchards at evesham country park are full of apple trees but something tells me they 're no longer treated in the way they once were . still , the ones that look ok seem to taste ok !	apple
6136462981	negative	6136462981.jpg	apples all around . . .	apple
6158293720	negative	6158293720.jpg	taken from my new photo album on facebook 'lord of the rings on location' , here i found a rotting apple just lying around in chapeltown park and put my diminutive figurine to work . taken with a panasonic lumix tz65 .	apple
6186568315	negative	6186568315.jpg	( exif data nikon nikon d300 0 . 008sec f4 . 5 iso800 44mm , auto added by a href http h4ppy . com hpexif . php rel nofollow hpexif a )	apple
6224363859	negative	6224363859.jpg	eww	apple
6233169530	negative	6233169530.jpg	offering to aragog	apple
6252670290	negative	6252670290.jpg	bad apples in a box .	apple
6256680927	negative	6256680927.jpg	breaking news my 327th picture to be viewed over 1 , 000 times ( march 2015 ) . first uploaded october 2011 .	apple
6285286327	negative	6285286327.jpg	essaie d'une photomanipulation r alis e sous photoshop	apple
6304506560	negative	6304506560.jpg	a href http www . flickr . com groups edd seen in explore , dream and discover a	apple
6392493435	negative	6392493435.jpg	or crab apple , as the case may be . i was tired of indoor and night time shots so i headed to the parking lot of our office complex at lunch and found this crab apple tree .	apple
6434531675	negative	6434531675.jpg	bad apple , along the seine	apple
6506517127	negative	6506517127.jpg	amy spotted this while walking through a walmart in jacksonville	apple
6519945639	negative	6519945639.jpg	santa radish knows who 's been naughty ( we 're looking at you bad apple ! ) and nice ( that 's sweet potato ! )	apple
6669475611	negative	6669475611.jpg	a small apple tree laden heavy with fruit over the summer is now bare , surrounded by it 's fallen unwanted fruit . this image is a work in progress , part of a year long 'take a photo a day' project i 've named 'project leap year' . as a personal goal i hope to end this project in a photo book of my view to life in all 366 days of 2012 .	apple
6800144167	negative	6800144167.jpg	this is my custom creation for the quot i'm a bad apple quot online group custom show presented by bad applez inc . going live on february 14 , 2012 ( valentine 's day ) , the show will feature over 30 artists customizing 3 quot 5 quot plastic apples that were picked up at a local craft shop . my custom concept came from the idea of quot sticking quot good into something bad , or quot throwing quot some good into bad i do n't really have a direct explanation for my piece , it 's pretty much what you make of it . i wanted to try something new and different , something metaphoric the apple is rotten and bad and the shuriken is gold and good . the shuriken has the chinese character of quot good quot on it ( both sides ) and the apple has the word quot bad quot on it ( both sides , hard to see ) . the apple was pretty light ( made of plastic styrofoam ) , i decided to weigh it down by cutting it in half and filling it w a little super sculpey . the shuriken was made from super sculpey as well . spray paint was used for color . the show will be hosted at a href http www . badapplezinc . com rel nofollow www . badapplezinc . com a and every piece will be up for sale .	apple
6876756605	negative	6876756605.jpg	'm a bad apple online group show apolonio apple x chauskoskis i'm a bad apple online group show check out all the pieces on the following link a href http badapplezinc . storenvy . com collections 59596 i m a bad apple online group show rel nofollow badapplezinc . storenvy . com collections 59596 i m a bad app . . . a	apple
6876757431	negative	6876757431.jpg	'm a bad apple online group show apolonio apple x chauskoskis i'm a bad apple online group show check out all the pieces on the following link a href http badapplezinc . storenvy . com collections 59596 i m a bad apple online group show rel nofollow badapplezinc . storenvy . com collections 59596 i m a bad app . . . a	apple
6876760371	negative	6876760371.jpg	'm a bad apple online group show apolonio apple x chauskoskis i'm a bad apple online group show check out all the pieces on the following link a href http badapplezinc . storenvy . com collections 59596 i m a bad apple online group show rel nofollow badapplezinc . storenvy . com collections 59596 i m a bad app . . . a	apple
6990703059	negative	6990703059.jpg	bad apples , fallen apples on grass a href http publicphoto . org fruit bad apples fallen apples on grass rel nofollow publicphoto . org fruit bad apples fallen apples on grass a	apple
7000778352	negative	7000778352.jpg	spicknall 's farm market , beltsville , md	apple
7677768014	negative	7677768014.jpg	the only bad part of having an apple tree is the fact that you have to pick up the apples that fall before you mow . it 's a really yucky job , but it has to be done .	apple
7750237542	negative	7750237542.jpg	photos from penrose , co . july 2012	apple
8025142792	negative	8025142792.jpg	sketchbook 2012	apple
8148570725	negative	8148570725.jpg	don t pick from this one . this is the pollinator tree . the deluge of rain this summer meant the bees did not fly at crucial times . consequently we have the worst apple harvest for 15 years fruit supplies in shops are down , prices are up and brewers of english cider are feeling the pinch . taken from the family snaps sidebar , october 2012 http www . mudontheroad . com pic by djc	apple
8205028968	negative	8205028968.jpg	best on black .	apple
8552822836	negative	8552822836.jpg	quot if you never tasted a bad apple , you would never appreciate a good apple . because , you have to experience life to understand life . . . quot unknown	apple
8891807806	negative	8891807806.jpg	cover for the mplszine the humor issue	apple
9643725155	negative	9643725155.jpg	myfinepix snapshot challenge 01 09 2013	apple
9720795638	negative	9720795638.jpg	rotten apple , fallen off the tree	apple
1861678026	negative	1861678026.jpg	on my way to work a morning in october .	autumn
1907531141	negative	1907531141.jpg	captured on the way to work one cold morning , wish i could have stayed out .	autumn
2092233230	negative	2092233230.jpg	misty and frosty november day walk . ground still wet and muddy but grass and branches covered with new frost . best viewed large . svart n ( the black river ) , rebro , sweden .	autumn
261717235	negative	261717235.jpg	brecon beacon mountains , wales	autumn
3036127031	negative	3036127031.jpg	b the great smoky mountains b the world seems to be covered by a blanket of mist as we pass through a north carolina mountain pass on a rainy october morning .	autumn
3043705480	negative	3043705480.jpg	misty mountain with autumnal colors .	autumn
3982654631	negative	3982654631.jpg	today , i got up early and made myself a lovely , cosy morning eating breakfast and watching the sun come up and the mists clear from the woods nearby ) autumn mists in the soft light of the sunrise over the nearby woods . . . b i keep the comments clean ! no banners , awards or invitations , please ! i b	autumn
3985408634	negative	3985408634.jpg	ru	autumn
4027559536	negative	4027559536.jpg	canon eos 40d canon ef s 17 85mm f4 5 . 6 is usm 17mm texture by a href http www . flickr . com photos 8078381 n03 pareeerica a . thank you ! a href http www . flickr . com photos 8078381 n03 3339343445 texture a vidraru dam is a dam in romania . it was built in 1965 on the arge river . it is an arch dam built on a foundation of rock , and it was built to produce hydroelectricity . its construction created a reservoir , lake vidraru . the dam 's height is 166 meters , the arch length 305 meters , water accumulation volume 465 million cubic meters , the reservoir has a total shoreline ( perimeter ) length of 28km . situated between frun ii mountains and ghi u mountains , the lake collects the capra , buda and some other smaller rivers ( r ul doamnei , cernatu and v lsan , topolog , valea lui stan and limpedea ) , with a total flow of about 5 . 5 million l s . the total surface of the lake is 3 , 930 , 000 sq m , 10 . 3 km in length , with a maximum width of 2 . 2 km in the valea lupului zone c lug ri a . normal level or water retention is 830 . 00 meters above the sea level ( mdm ) . the dam 's construction took 5 and a half years . it required 42km of subterranean tunnels , excavation of 1 , 768 , 000 cubic meters of hard rocks , out of which approximatively 1 million had to be extracted from underground , 930 , 000 cubic meters of concrete , out of which 400 , 000 cubic meters were underground and required the installation of 6 , 300 tons of electro mechanical equipment . when completed , it ranked 5th in europe , and 9th in the world . in an average hydrological year it can generate approximately of 400 gwh year . the vidraru hydro power plant has an installed capacity of 220 mw . the vidraru dam made an appearance in the series 14 , episode 1 of the bbc motoring programme top gear . the three presenters had slept in their cars overnight while on their way to find the world 's best driving road in romania and woke up in the shadow of the vidraru dam . the bungee jump before the opening credits of the james bond film , goldeneye was filmed at the verzasca dam in ticino , switzerland , not this dam , as widely believed . a href http en . wikipedia . org wiki vidraru dam rel noreferrer nofollow en . wikipedia . org wiki vidraru dam a	autumn
4051568160	negative	4051568160.jpg	shot in island lake , il on 10 27 09	autumn
5049050936	negative	5049050936.jpg	the stream through the village of malham in north yorkshire on a misty autumn morning .	autumn
5157749708	negative	5157749708.jpg	all rights reserved do n't use this image on websites , blogs or media without my explicit permission .	autumn
5160606657	negative	5160606657.jpg	all rights reserved do n't use this image on websites , blogs or media without my explicit permission .	autumn
5169354732	negative	5169354732.jpg	all rights reserved do n't use this image on websites , blogs or media without my explicit permission . a href http www . youtube . com watch ? v nc9vt1xq5kw rel noreferrer nofollow www . youtube . com watch ? v nc9vt1xq5kw a	autumn
5209922108	negative	5209922108.jpg	a href http bighugelabs . com onblack . php ? id 5209922108 amp size large rel noreferrer nofollow view on black a	autumn
5251117706	negative	5251117706.jpg	victoriab52 autumn , greece	autumn
6194771652	negative	6194771652.jpg	part 1 in a series of 12 images that i aim to produce during the next year . read more a href http maketakephoto . com blog 2011 9 29 project pond study . html rel noreferrer nofollow here ! a ( made it into explore 32 )	autumn
6249403119	negative	6249403119.jpg	cock lane , broxbourne	autumn
