index	#1 Label	#2 ImageID	#3 String
2509	negative	2509.jpg	…this particular government – led by this particular PM – plays by a different set of rules.	
2523	negative	2523.jpg	Canada among most vulnerable large economies. Quick, rearrange deckchairs.	
2534	negative	2534.jpg	CPC candidate Gabriel Purcarus, when I asked him about his deleted FB page.	
2535	negative	2535.jpg	So what happened in 2007?	
2557	negative	2557.jpg	Harper calls on Vets for support Staff doesn't read the whole email	
2571	negative	2571.jpg	Why is your sign on my lawn? We didn't request this.	
2590	negative	2590.jpg	makes another pointless promise & new nothing	
2598	negative	2598.jpg	Just a !!	
2608	negative	2608.jpg	Do not understand why keeps using this cheesy imagery. How do boxing & prime-ministership correspond?	
2618	negative	2618.jpg	This wee guy didn't pee on my porch. AFAIK.	
2625	negative	2625.jpg	Saw this walking about today. Tories be feeling the love in	
2634	negative	2634.jpg	poach CPC talking POINTS. I call 'copyright infringement'. At least TRY to be original.	
2640	negative	2640.jpg	You can use to see changing policy positions on still relevant issues.	
2649	negative	2649.jpg	OUCH! Painful to see as backdrop for	
2650	negative	2650.jpg	Conservative Party of Canada, the place for men with convictions.	
2653	negative	2653.jpg	Angry resident reminded local candidate to ask first before putting sign up	
2671	negative	2671.jpg	October 19 is accountability day.	
2678	negative	2678.jpg	Will this sign influence two elections this fall?	
2682	negative	2682.jpg	PM Harper on Justin, Tom and ISIS	
2694	negative	2694.jpg	right now on saying ""Bill C-51 must be repealed."" A Must Watch!	
2697	negative	2697.jpg	All of these candidates not attending	
2706	negative	2706.jpg	DISCLAIMER: THERE ARE NO SECOND CLASS CITIZENS, DURING AN ELECTION CAMPAIGN. OFFER EXPIRES 10/19/15	
2718	negative	2718.jpg	The fundamental flaws in the Canadian health care system, Dr. David Naylor	
2719	negative	2719.jpg	We need as many people as possible to hear about NOW — during season	
2731	negative	2731.jpg	Seems like and the have things upside down.	
2734	negative	2734.jpg	There's a difference ...	
2756	negative	2756.jpg	People we're not voting for because they suck at their job :	
2758	negative	2758.jpg	If abortion is a settled issue in than why people get upset w/images of abortion?	
2768	negative	2768.jpg	May sets her sights on disaffected Red Tories:	
2781	negative	2781.jpg	Fear factor now haunts Conservatives: Hébert	
2799	negative	2799.jpg	Climate-scam infects the country	
2802	negative	2802.jpg	UNACCEPTABLE: CPC Candidates Don't Answer Media Questions. Harper Won't Answer Cdns' Qs! Democracy?	
2804	negative	2804.jpg	perhaps instead of just focusing on C51, get Mulcair to debate Indig issues/rights & ans below	
2815	negative	2815.jpg	Tweets about are serious & rightly so. Thought I'd inject a little humor on the 1st of September!	
2821	negative	2821.jpg	- ""You're a lying piece of shit""	
2828	negative	2828.jpg	We need evidence-based policies, not ones based on ideology. Please vote during	
2836	negative	2836.jpg	Essential we ensure we're ONLY letting in genuine 'refugees' ...	
2839	negative	2839.jpg	Apparently - NDP candidate is also big on coat hangers.	
2843	negative	2843.jpg	Max for Prime Minister.	
2845	negative	2845.jpg	""Tory times are bad times"" says w/ at the Rally	
2871	negative	2871.jpg	The Media Party loves reporting on political bent. How about this pro athlete's?	
2884	negative	2884.jpg	Women’s issues debate called off after Mulcair pulls out	
2899	negative	2899.jpg	If abortion is a settled issue in then why people get upset with images of abortion	
2908	negative	2908.jpg	If abortion is a settled issue in than why people get upset with images of abortion?	
2913	negative	2913.jpg	Joe Oliver Discovered Rotting in a prison of his own making	
2923	negative	2923.jpg	IF I ONLY HAD A FAIR AND DEMOCRATIC ELECTION SYSTEM :(	
2931	negative	2931.jpg	Gen. Hillier chastises for their extreme anti-Harper ad	
2933	negative	2933.jpg	This is scary.	
2936	negative	2936.jpg	You may not be of Justin's Canada	
2942	negative	2942.jpg	If abortion is a settled issue in than why people get upset with images of abortion? '	
2964	negative	2964.jpg	If what you've done so far for Syria is the best you can do, your best won't do.	
2969	negative	2969.jpg	Is this why hasn't made refugee crisis a priority for 2 1/2 yrs. Underlings to blame?	
2987	negative	2987.jpg	If abortion is a settled issue in than why people get upset with images of abortion?	
2990	negative	2990.jpg	Wonder how many it takes to screw in a light bulb..	
2998	negative	2998.jpg	Ridicule with extreme prejudice.	
