index	#1 Label	#2 ImageID	#3 String	#3 String
52	Angry	52.jpg	TLV 👿 17/1/2017	
641	Angry	641.jpg	I’m so frustrated right now that I’m not going to do anything but leave this right here with a few disclaimers and a side note. DISCLAIMER: the guy’s name and profile picture have been marked out for privacy purposes and because this isn’t about the person commenting, but about the culture and way of thinking he represents as a whole. DISCLAIMER: if any of my comments seem misandrist in any way, i apologize for that wasn’t my intention. I do not hate all men, nor do I believe that men are inherently evil and idiotic, however the culture and way of thinking he is representing (as described as “shitty misogynistic fragile male ego?. That being said, I reiterate that I do not hate men and apologize if this comes across as misandrist. I have an older and a younger brother who I love very much and while they make women jokes, they’re open to men jokes and they treat, in my older brother’s case, his wife, and in my younger brother’s case, the girls he dates, with the utmost respect and they treat them the way they would like to be treated and while they align themselves with the traditional/biblical marriage (women are to be submissive and men are to lead), they still treat their significant others with respect and equality, and so seeing shit like this makes me angry because this is mistakenly tagged with men everywhere, including my brothers who are not like that. While it’s possible that my brothers agree with this list, if I were to ask them the first question I asked this guy, they would say “not at all, I would treat her the same?	
1264	Angry	1264.jpg	Just a lonely girl *: Tell me, where did I go wrong? on We Heart It.	
1481	Angry	1481.jpg	“My husband and I took our photos for the Christmas cards this year.? Photo/caption by Shannon Collins Craven	
1664	Angry	1664.jpg	My sister angry on We Heart It.	
1740	Angry	1740.jpg	russia anger for your gif needs It’s from here i think, if you have the original post do tell me uwu	
1811	Angry	1811.jpg	Middle finger up if you dont give a fuck.	
1898	Angry	1898.jpg	(100 +) Tumblr em We Heart It.	
2128	Angry	2128.jpg	OMFG the brown one have angry eyebrows!	
2604	Angry	2604.jpg	😪 on We Heart It -	
2766	Angry	2766.jpg	?. on We Heart It.	
2930	Angry	2930.jpg	anime couple video game on We Heart It.	
3211	Angry	3211.jpg	ha playa ? on We Heart It.	
3568	Angry	3568.jpg	13 going on 30, madamelulu, movie, quote, sad - inspiring picture on Favim.com on We Heart It - Hearted from:	
3600	Angry	3600.jpg	I hate her >< Yesung hate her -_- Source: sneezes	
3665	Angry	3665.jpg	He’s an Copyright 2013 © Nathalie Bernal All Rights Reserved	
3823	Angry	3823.jpg	Tumblr on We Heart It.	
3894	Angry	3894.jpg	Rules have been burned | via Tumblr on -	
4002	Angry	4002.jpg	New trending GIF tagged angry, mad, rage, hate, tom and jerry, pissed off, fuming, hot head, flip lid via Giphy	
4194	Angry	4194.jpg	Rules have been burned on We Heart It -	
4278	Angry	4278.jpg	Follow me, I follow you back 100% :)	
4303	Angry	4303.jpg	+ on We Heart It.	
4502	Angry	4502.jpg	I feel you.	
4686	Angry	4686.jpg	SPNG Tags: DEAN / ANGRY / DEAN / SMASH	
5740	Angry	5740.jpg	New trending GIF tagged fox, angry, fox tv, frustrated, seriously, gordon ramsay, hell’s kitchen, hells kitchen via Giphy	
5889	Angry	5889.jpg	New trending GIFtv, reaction, angry, mad, tv show, anger, yelling, reaction gif, yell, sitcom, furious, laff, scam, john lithgow, laff tv, lafftv, overreacting, overreact, none of this is real, this is all a scam, this is a scam via Giphy	
6335	Angry	6335.jpg	New trending GIF tagged no, angry, mad, audience, carmen, irritated, audiencenetwork, you me her, no no no no, youmeher, jennifer spence via Giphy	
6518	Angry	6518.jpg	One of my personas many flaws is her temperament. She gets angry very easily	
6587	Angry	6587.jpg	funny, tv, lol, angry, face, show, surprise, upset, cooking, surprised, shock, the, friend, boss, of, kitchen, bff, contest, is, who, y, s4c, bos, di, teledu, welsh, contestant, cymru, gwenno, coginio, gegin, pwy, cymro, ffrind	
6653	Angry	6653.jpg	Angry, Sad and Happy where born like this - Keep up the good work and enjoy! -	
6733	Angry	6733.jpg	If I say it enough it’ll come true. I’m fucking blind and I can’t fucking think right now wonder im incapable of love. Whenever I speak about people hurting me. On accident or on purpose I feel like acid is clawing out of my mouth	
6951	Angry	6951.jpg	Le migliori gif da GIPHY!	
7368	Angry	7368.jpg	Anger is another acronym for mistakes	
7390	Angry	7390.jpg	My cat Stanley. He is an angry boy.	
7439	Angry	7439.jpg	New trending GIF tagged funny, horror, angry, scary, scared, humor, women, thinking, anger, fierce, short film, killer, satire, killers, serial via Giphy	
7681	Angry	7681.jpg	Robert le Ragondin	
7726	Angry	7726.jpg	New trending GIFmovie, angry, mad, upset, watching, staring, orchard films, us and them via Giphy	
7956	Angry	7956.jpg	New trending GIF tagged sports, basketball, angry, sport, mad, college basketball, march madness, ah, duke, ncaa basketball, ncaam, march madness 2018, duke basketball, blue devils, duke blue devils, duke university, coach k, blue devil basketball via Giphy	
8076	Angry	8076.jpg	New trending GIF tagged snl, angry, saturday night live, mad, season 43, john goodman via Giphy	
